author,url,text,section,title,sub_title,date
Deutsche Welle,https://www.cartacapital.com.br/politica/partidos-alemaes-condenam-fala-de-bolsonaro-sobre-nazismo/,"“Os nazistas já usavam conscientemente a distorção política como instrumento da sua propaganda fascista. O fato de Jair Bolsonaro se apoiar nesta mentira é um ultraje nojento às vítimas do nazismo”, afirmou a deputada Yasmin Fahimi, presidente do Grupo Parlamentar Teuto-Brasileiro no Bundestag (Parlamento alemão).A deputada do Partido Social-Democrata (SPD), legenda mais antiga da Alemanha, lembrou ainda que as primeiras vítimas nos porões de tortura nazistas foram os social-democratas e sindicalistas e destacou que o nazismo foi um regime de extrema direita, marcado pela desumanidade, pelo belicismo e por uma ideologia racista que custou a vida de milhões de pessoas.“Essas declarações difamam a memória das vítimas da violência nazista. Um movimento de esquerda luta pela liberdade e igualdade das pessoas, ou seja, justamente o contrário”, disse Fahimi, que faz parte da legenda que integra a coalizão que governa a Alemanha ao lado da União Democrata-Cristã (CDU), da chanceler federal Angela Merkel, e da União Social-Cristã (CSU).O porta-voz de política externa do Partido Verde, Omid Nouripour, também condenou as declarações de Bolsonaro e do ministro Araújo. “Isso é uma distorção e falsificação massiva da verdade histórica. A tentativa de desacreditar a esquerda com esse absurdo é uma manobra concertada internacionalmente pela extrema direita para desviar a atenção de sua política vazia, porém, desumana”, disse.O deputado ressaltou que o nome Partido Nacional-Socialista dos Trabalhadores Alemães, ou NSDAP, foi apenas uma estratégia para atrair a classe trabalhadora e classificou a legenda como a mais extremista de direita que já houve.Peter Weiss, da conservadora CDU, lembrou que o partido nazista em seu início tinha uma ala socialista, que progressivamente foi eliminada. “O nazismo não foi um ‘movimento de esquerda’, mas um movimento nacionalista,  e racista, que conduziu a uma catástrofe na Alemanha e Europa”, afirmou o deputado, que também faz parte do grupo parlamentar alemão responsável por cultivar as relações com o Congresso brasileiro.O deputado Gero Hocker, do Partido Liberal Democrático (FDP), disse que o Brasil tem problemas maiores do que um debate sobre a história alemã. “Em vez de fazer comparações históricas inadmissíveis, Bolsonaro deveria promover em seu gabinete a vigência das condições básicas legais confiáveis também para investidores estrangeiros em seu país, impulsionar a educação e cortar impostos para trabalhadores e empresários para, assim, atrair investidores e fortalecer o poder de compra”.O deputado, que também é membro Grupo Parlamentar Teuto-Brasileiro, argumentou ainda que todo sistema ditatorial, tanto os de direita quanto os de esquerda, combate a diversidade e abertura de uma sociedade, e em ambos os casos há restrições de liberdades econômicas e sociais. Desta maneira, as duas classificações apresentam características semelhantes. “Ao mesmo tempo, historicamente é inútil fazer uma relativização do sofrimento das ditaduras de esquerda e de direita por meio de uma comparação geral como a de Araújo”.Para o deputado Alexander Ulrich, da legenda A Esquerda, as declarações demonstram uma ignorância massiva ou são negação deliberada da história e política. “Isso é para um presidente, especialmente de um país grande como o Brasil, extremamente dramático e perigoso. Com essas declarações, Bolsonaro quer desacreditar a esquerda, no entanto, ele acaba apenas se ridicularizando”, acrescentou.Integrante do Grupo Parlamentar Teuto-Brasileiro, Ulrich destacou que a ideologia de extrema direita do nazismo não tem nenhuma relação com a ideologia democrática e solidária internacionalmente da esquerda. “Pelo contrário, vejo uma série de traços do nazismo na própria política de Bolsonaro. Ficaria surpreendido se ele descrevesse a si próprio como de esquerda”, afirmou.Já o deputado Martin Hess, da legenda populista de direita Alternativa para a Alemanha (AfD), disse que na Alemanha houve um debate no passado sobre essa tese sem que ela fosse incorporada no discurso e lembrou que Bolsonaro baseou sua declaração em argumentos do filósofo Olavo de Carvalho.“Nosso partido, se concentra em encontrar soluções para problemas atuais e ameaças à nossa segurança e ao nosso bem-estar. Assim, devemos deixar debates históricos para historiadores e filósofos”, acrescentou Hess, que também está no Grupo Parlamentar Teuto-Brasileiro.Questionado sobre os comentários, o porta-voz de Merkel, Steffen Seibert, preferiu não comentar as declarações de Bolsonaro, porém, afirmou que a posição do governo da Alemanha em relação ao nazismo é bastante conhecida e clara. “Há anos e décadas existe uma convicção muito sólida que nos sustenta e sustenta todo nosso país”, destacou.Na Alemanha, há um amplo consenso, nos âmbitos acadêmico, social e político, sobre a . A disputa sobre a classificação da ideologia nazista é inexistente entre historiadores renomados.No fim da viagem a Israel, Bolsonaro disse a jornalistas “não ter dúvidas” de que o nazismo foi um movimento de esquerda. A declaração foi feita após uma vista ao memorial Yad Vashem, em Jerusalém, um museu público em memória às vítimas do Holocausto. A própria instituição define o nazismo como um movimento de direita.O posicionamento do presidente ocorreu em meio à polêmica causada por declarações recentes de Araújo de que o nazismo teria sido um “fenômeno” de esquerda.  Com as alegações, a tese parece ter virado discurso oficial em Brasília.Em longa entrevista a um canal simpático à extrema direita no Youtube, o ministro repetiu um discurso que esteve em alta nas mídias sociais brasileiras durante as eleições, mas que jamais foi levado a sério por acadêmicos na Alemanha. A tese é tida como absurda e desonesta por acadêmicos e diplomatas europeus.Em Jerusalém, questionado na terça-feira se concordava com a afirmação de Araújo, Bolsonaro afirmou: “Não há dúvida. Partido Socialista… Como é que é? Da Alemanha. Partido Nacional-Socialista da Alemanha.”Os atuais defensores do “nazismo de esquerda” costumam se basear no nome oficial da agremiação nazista, o Partido Nacional-Socialista dos Trabalhadores Alemães, ou NSDAP. A presença da palavra “socialista” revelaria a linha ideológica do regime. Historiadores internacionais de renome, porém, destacam que isso não passou de uma estratégia eleitoral para atrair a classe trabalhadora.",Política,Partidos alemães condenam fala de Bolsonaro sobre nazismo,Distorção e falsificação da história e difamação da memória das vítimas foram algumas das reações de parlamentares à fala do presidente,2019-04-05 14:59:22
Redação,https://www.cartacapital.com.br/economia/atacado-por-mourao-o-salario-minimo-do-pais-e-um-dos-menores-do-mundo/,"Segundo o general, a remuneração básica de referência no Brasil pune os empresários (“mínimo que não é mínimo”) e não pode mais ser reajustada anualmente com base na inflação.Mourão defendeu ainda a aprovação da reforma da Previdência, o aprofundamento do desmonte da CLT iniciado pelo governo de Michel Temer, a privatização até de serviços básicos como saúde e educação e uma drástica redução de impostos.Entende-se o entusiasmo dos empresários. O discurso de Mourão, lido e não improvisado, soa como música para o setor privado. Mas, no caso do salário mínimo, não condiz com a realidade.O Brasil tem um dos menores  do planeta, mostra um levantamento de 2018 da Fundação Alemã Hans Bockler. O estudo faz uma comparação da remuneração da hora trabalhada. Os valores são medidos em euros pela paridade do poder de compra, metodologia que elimina os efeitos das variações cambiais.Um outro comparativo, produzido pelo Ipea com base em dados da OCDE, a organização mantida pelos países ricos na qual o governo Bolsonaro pretende inserir o País, chega a conclusões semelhantes.Na lista comparativa, só ficamos atrás do México entre as nações pesquisadas (em dólar, pela paridade do poder de compra). Os dados são de 2015. ",Economia,"Atacado por Mourão, o salário mínimo do País é um dos menores do mundo","Ficamos atrás do Chile, da Argentina e da maioria das economias mais importantes do planeta",2019-03-27 14:29:12
Redação,https://www.cartacapital.com.br/politica/em-nova-pesquisa-aprovacao-de-bolsonaro-cai-ainda-mais-e-vai-a-35/,"A avaliação da população sobre o desempenho do presidente Jair Bolsonaro (PSL) está em franca queda. Segundo a pesquisa divulgada nesta sexta-feira 5 pela XP Investimentos, 35% aprovam o presidente.Segundo o levantamento, realizado de 1 a 3 de abril, as curvas de aprovação e reprovação mostram nitidamente uma trajetória ruim para Bolsonaro a partir de fevereiro, quando era aprovado por 40% dos que responderam à pesquisa da XP. Depois, em março, oscilou para 37%. Agora, está em 35%.  Na mesma medida, a reprovação a Bolsonaro só aumenta. Em fevereiro, o índice era de 17%, passando a 24% em março. Em abril, atingiu 26%, oscilação dentro da margem de erro, mas que confirma a trajetória de alta no indicador. A proporção dos que consideram o governo regular, 32%, se manteve entre março e abril. A margem de erro é de 3,2 pontos percentuais.  A pesquisa também analisou outros indicadores: as instituições que desfrutam da menor confiança ainda são os partidos políticos. Cerca de 89% dizem não confiar neles. Em oposição, as Forças Armadas são a instituição com o maior nível de confiança: 66% dizem que podem confiar nelas.  : oscilou 3 pontos para baixo a percepção da população de que a reforma é necessária, embora a maior parte continue defendendo a mudança. Em março, 64% concordavam com a afirmação de que é preciso fazer uma reforma da Previdência. Em abril, eram 61%.55% dos entrevistados responderam que o Brasil vive uma “nova política”. Do outro lado, 39% não concordam com essa interpretação.",Política,"Em nova pesquisa, aprovação de Bolsonaro cai ainda mais e vai a 35%","Levantamento da XP mostra que a trajetória vem caindo desde fevereiro, quando o trabalho do presidente era aprovado por 40% da população",2019-04-05 12:56:34
Thais Reis Oliveira,https://www.cartacapital.com.br/politica/apos-denuncia-governo-diz-a-onu-que-nao-houve-golpe-militar-no-brasil/,"O telegrama foi revelado em primeira mão pela  e confirmado posteriormente por CartaCapital. Diz o texto que “não houve golpe militar” em 1964 no Brasil, e que a tomada do poder pelas Forças Armadas serviu para afastar ameaças de “uma tomada comunista”, além de “garantir a preservação das instituições nacionais, no contexto da Guerra Fria”.  O governo afirma ainda que “os anos 1960-70 foram um período de intensa mobilização de organizações terroristas de esquerda no Brasil e em toda a América Latina”, e que a derrubada de João Goulart foi apoiada pela “maioria dos brasileiros”.
Trata-se de uma resposta às  para Promoção da Verdade, Justiça, Reparação e Garantias de Não Repetição. Na sexta-feira 29, Savioli exigiu que Bolsonaro reconsiderasse seus planos de celebrar um regime que cometeu “crimes horrendos” é “imoral e inadmissível”.  O parecer de Savioli foi classificado como “sem fundamento”. O governo brasileiro pediu ainda que o relator “deve respeitar os processos nacionais e procedimentos internos em suas deliberações”.
Em sua defesa, o governo evocou defesa da liberdade de expressão e reforçou que a recomendação de Jair Bolsonaro para que os quartéis comemorassem a data “foi tomada com pleno respeito à lei nacional, incluindo a Constituição Federal”.  O apelo da autoridade da ONU ocorreu depois de uma . No pedido, as organizações alertam para uma “tentativa de modificar a narrativa sobre o golpe de 31 de março de 1964 no Brasil”, cuja principal atuação viria “através de instruções diretas do Gabinete da Presidência ao mais alto comando militar para transmitir uma mensagem positiva sobre o período, desconsiderando as atrocidades cometidas pelo respectivo regime.”
Também pegaram mal lá fora as declarações de Bolsonaro e do chanceler Ernesto Araújo sobre . Durante viagem a Israel, o presidente corroborou a tese de Araújo e afirmou categoricamente que o nazismo é de esquerda: afinal, o partido de Hitler tinha  no nome.
Representantes de partidos políticos da Alemanha comentaram o caso ao blog do jornalista Jamil Chade, do  e atacaram o presidente. A deputada Yasmin Fahimi, do Partido Social-Democrata, lembrou que “os nazistas também usaram o termo ‘social’ como uma máscara para seu real programa político” e disse que Bolsonaro, ao usar essas mesmas estratégias, faz “ridicularização inaceitável das vítimas que foram mortas pelos nazistas”. O PSD, vale lembrar, faz parte da coalizão que governa a Alemanha e tem papel importante nos assuntos internacionais do país.
",Política,"Em carta, governo diz à ONU que não houve golpe militar no Brasil","Conforme o telegrama enviado à entidade, tomada do poder pelas Forças Armadas serviu para afastar uma ",2019-04-04 19:10:23
Fernanda Orsomarzo,https://www.cartacapital.com.br/opiniao/independencia-funcional-ou-morte/,"







  
Dentre os pressupostos do regime democrático inaugurado pela Constituição de 1988, tem-se a previsão de uma magistratura independente e imparcial. Ora, sendo o Poder Judiciário guardião último dos direitos e garantias fundamentais, revela-se de especial importância que seus membros sejam independentes em suas convicções, assegurando-se o acesso do cidadão a uma ordem jurídica justa, imune a eventuais pressões ou interesses externos.
Portanto, a garantia de independência do Poder Judiciário não constituiu privilégio dos juízes, mas prerrogativa popular. Noutras palavras, a decisão devidamente fundamentada com base na convicção do magistrado da causa e em observância às obrigações inerentes ao cargo deve ser respeitada enquanto conquista democrática, o que não impede sua revisão por meio de recurso próprio. Violar a autonomia do julgador em dizer o direito ao caso concreto significa violar o próprio Estado Democrático de Direito.
Não há como aceitar que a judicatura seja intimidada pelo raso discurso do senso comum, incapaz de perceber que no mundo real a lógica simplista “bem x mal” não é suficiente para a resolução de conflitos. O julgar, quando feito com responsabilidade e maturidade, extravasa essa noção. A vida é complexa e demanda a análise de inúmeras circunstâncias e particularidades, não sendo possível encaixar indivíduos em módulos pré-concebidos e fabricados de acordo com uma única visão de mundo.
Ministro Celso de Mello

Após quase cinco anos de magistratura, constato que poucas foram as vezes em que dúvidas não acompanharam meu dia-a-dia. Elas – as dúvidas – me perseguem durante todo o tempo, aparecendo, acreditem, até mesmo em sonho. A responsabilidade do julgar o próximo pesa nos ombros e demanda reflexão constante. Durmo com muitas dúvidas sobre a melhor forma de dizer o direito em casos que aguardam minha análise. Mas jamais durmo com medo. O dia em que sentir receio do julgar, a magistratura estará morta em mim.
",Opinião,Independência funcional ou morte,São constantes os episódios envolvendo ataques pessoais quando a decisão prolatada destoa do que o clamor popular espera,2019-04-03 13:15:55
Thais Reis Oliveira,https://www.cartacapital.com.br/politica/lavagem-de-dinheiro-por-apartamento-torna-temer-reu-pela-terceira-vez/,"A denúncia havia sido oferecida há dois dias pelo Ministério Público Federal em São Paulo e está no bojo da Operação Descontaminação, que investiga desvios na Eletronuclear — e motivou a     De acordo com os procuradores, o apartamento de Maristela teve uma reforma de 1,6 milhão paga com dinheiro de propina da Engevix, por intermédio do Coronel Lima e de Maria Rita. A empresa teria se beneficiado de contratos com Angra III, em obras há 35 anos.
A Lava Jato afirma que as obras ocorreram entre 2013 e 2014 e foram bancadas com dinheiro de corrupção e desvios que teriam ocorrido entre 2012 e 2016. O caso tramitava no Supremo Tribunal Federal (STF) e foi remetido para São Paulo em janeiro, depois que Temer perdeu o foro especial ao deixar a Presidência.    É a terceira vez que Temer ganha um passe para o banco dos réus desde que foi preso. Há dois dias, o juiz Marcelo Bretas acatou duas denúncias do MPF do Rio de Janeiro contra o ex-presidente por corrupção, lavagem de dinheiro e peculato no caso da Eletronuclear.
No dia 28, a justiça de Brasília o tornou réu por corrupção passiva no caso da  A denúncia existe desde 2017, mas só se tornou ação penal depois que ele perdeu o foro especial.
",Política,Lavagem de dinheiro por apartamento torna Temer réu pela terceira vez,"Filha do ex-presidente, o coronel Lima e a esposa dele, Maria Rita Fratezi, também serão processados",2019-04-04 20:34:55
Redação,https://www.cartacapital.com.br/politica/em-live-com-moro-bolsonaro-fala-tres-minutos-sobre-piscicultura/,"O assunto teve mais atenção que a reforma da Previdência — 2 minutos e 32 segundos, dos quais 37 segundos serviram para rebater informações que circularam na imprensa. Sobre a reunião que teve mais cedo com partidos do centrão, disse que “não tratou de cargos” e garantiu que não gravou conversas com os políticos.Sergio Moro falou pouco. Inicialmente, citou dados da Operação Luz na Infância, de combate à pedofilia e falou a tramitação do pacote anticrime. Também aproveitou para divulgar seu recém-criado perfil no Twitter. “Se não der certo, a culpa é do Bolsonaro.”O paranaense se demorou mais ao citar a operação Aliança, que derrubou dez toneladas de maconha ainda no pé. Segundo ele, a ideia é repetir e intensificar esse tipo de operação ao longo do ano, porque a operação tem “um potencial muito grande para afastar as drogas da população brasileira”.Em meio a elogios a Israel, Bolsonaro destacou uma parceria com o país para fomentar o cultivo de peixes. O presidente prometeu enviar universitários a intercâmbios de curta duração no país, para que eles aprendam técnicas de criação de peixes e técnicas de combate à seca, como o gotejamento.Também estaria em curso, segundo Bolsonaro, uma parceria com o Paraguai. “Quando estivemos em Itaipu, nós levantamos junto ao presidente usar o mar de água doce para cultivo de peixes. Foi feito o contato na hora. Nessa semana ou semana que vem, vão se encontrar para criar, em cercadinhos, tilápia e outros peixes que podem ser criados aí”, disse.O general Augusto Heleno, chefe do Gabinete de Segurança Institucional, também participou do encontro. Em uma longa declaração, de 2 minutos e 42 segundos, Heleno procurou colocou panos quentes nas críticas à postura do Brasil em relação ao mundo árabe, estremecida pelo alinhamento com Israel. “A comunidade árabe é numerosíssima, eles são nossos parceiros econômicos e isso não será afetado pela visita a Israel, vamos continuar a cultivar esse relacionamento com a comunidade árabe.”",Política,"Em “live” com Moro, Bolsonaro fala três minutos sobre… piscicultura",Assunto teve mais atenção que a Reforma da Previdência e pacote anticrime,2019-04-04 23:50:13
Alexandre Putti,https://www.cartacapital.com.br/sociedade/documentario-resgata-olhares-sobre-a-ditadura-e-a-lei-de-anistia-assista%ef%bb%bf/,"Há 55 anos, a democracia brasileira foi golpeada. Os militares tiraram o presidente democraticamente eleito, João Goulart, e assumiram a presidência da república de forma ditatorial.


 A Constituição brasileira foi rasgada e houve a assinatura do Ato Institucional nº 1. No mesmo dia foi empossado interinamente o presidente da Câmara, Ranieri Mazzilli.  

Com a repressão, surgiram grupos de resistência armada. Para combater esses grupos, mais repressões, prisões, torturas. Criou-se um cenário de ebulição, com instabilidade econômica e as ruas pulsando em busca de liberdade.

  Neste cenário, João Figueiredo decretou a Lei de Anistia, que perdoava os presos políticos, permitia que os anistiados voltassem ao país e dava perdão judicial aos militares que cometeram crimes durante o regime.


É este o tema do documentário “Olhares Anistia”, do diretor Cleonildo Cruz, lançado neste domingo 31. O filme traz duas visões sobre a luta armada na ditadura e a lei de anistia. O diretor conversa tanto com os militantes e presos políticos da época quanto com os militares que faziam parte do regime.
  
A lei é uma polêmica que se arrasta até os dias de hoje. Em 2010, o STF recusou uma mudança e manteve o texto como foi proposto em 79. Na prática, isso faz com que os militares que mataram e torturaram durante a ditadura não sejam julgados nem penalizados.


O Brasil é um dos únicos países que não julgou os militares que participaram de um regime ditatorial.


Outros temas abordados no documentário são: a luta armada, as lacunas abertas do assassinato dos ex-presidentes João Goulart e Juscelino Kubitschek, a explosão da bomba no aeroporto dos Guararapes em Recife, relatório Final da Comissão Nacional da Verdade, a busca para uma justiça de transição e não apenas o resgate histórico.  


“A multiplicidade olhares mostra uma anistia inconclusa. Não houve justiça na responsabilização da criminalidade estatal praticadas pelos agentes civis e militares”, disse o diretor. 

",Sociedade,Documentário resgata olhares sobre a ditadura e a Lei de Anistia. Assista﻿,O Brasil é um dos únicos países que não julgou os militares que participaram de um regime ditatorial,2019-03-31 11:07:47
Thais Reis Oliveira,https://www.cartacapital.com.br/politica/michel-temer-se-torna-reu-na-forca-tarefa-da-lava-jato-do-rio/,"Esta é a segunda vez que Michel Temer é implicado na Justiça desde que foi preso, no dia 21 de março. No dia 28, a justiça de Brasília o tornou réu por corrupção passiva no caso da  A denúncia existe desde 2017, mas só se tornou ação penal depois que ele perdeu o foro especial ao deixar a Presidência.  Temer passou quatro dias na cadeia, e foi solto por um concedido pelo desembargador Ivan Athié. Na decisão, Athié  para mantê-lo preso, e que a prisão preventiva havia se convertido em antecipação de pena. Ontem, o MPF pediu que o emedebista e outros sete beneficiados pela decisão 
Também nesta terça-feira, o Ministério Público Federal em São Paulo apresentou denúncia contra o ex-presidente e Maristela, sua filha, por lavagem de dinheiro, agravado por associação criminosa. O caso tramitava no Supremo Tribunal Federal (STF) e foi remetido para São Paulo em janeiro, quando Temer perdeu o foro especial.  A denúncia está no bojo da Operação Descontaminação, que investiga desvios na Eletronuclear, e motivou a prisão de Temer há doze dias. De acordo com os procuradores, o apartamento de Maristela, que fica em São Paulo, teve uma reforma paga com dinheiro de propina da Engevix. A empresa teria se beneficiado de contratos com Angra III, em obras há 35 anos.
O Coronel Lima e sua esposa, Maria Rita Fratezi, também foram denunciados. Segundo a PF, documentos indicam que o casal cuidou pessoalmente da reforma.  O criminalista Eduardo Carnelós, advogado de Temer, afirmou em nota que o emedebista jamais recebeu vantagem indevida e, por isso, não poderia ter lavado dinheiro ilícito. Carnelós questionou que, enquanto estava no STF, dizia-se que a verba usada na reforma teria sido paga por um delator sem relação com a Eletronuclear, mas que agora aparece relacionado a um delator associado à empresa. “Apesar disso, nenhuma das denúncias oferecidas depois pelo MPF/RJ imputou esses fatos, que, agora, surgem na acusação formulada pelo MPF/SP.”
 
",Política,Temer se torna réu por corrupção no caso da Eletronuclear,"Ex-presidente é acusado ainda por lavagem de dinheiro e peculato; outros doze envolvidos, incluindo Moreira Franco, também foram implicados",2019-04-02 20:47:48
Redação,https://www.cartacapital.com.br/politica/apos-gafe-de-moro-conge-ganha-definicao-no-dicionario-informal/,"Alguém me explica o que é :
“CONGE”
“agir SOBRE a violenta emoção….”
“VIM a ser condenada”
Esse é o fino português do exemplar de Juiz da república de Curitiba
“In dubio PAU no réu”    — Walter (@WalterAugustoF) 
Com a chancela ministerial do superministro, o termo foi adicionado ao Dicionário Informal, site que define palavras não encontradas no vocabulário tradicional. “Uma iniciativa de documentar on-line a evolução do português”, diz a definição do portal.  
Na comissão do Senado, Moro voltou a defender o endurecimento das punições a crimes de corrupção e a crimes contra a vida, foco do pacote anticrime apresentado por ele ao Congresso em fevereiro.
",Política,"Após gafe de Moro, “conge” ganha definição no Dicionário Informal",O ex-juiz da Lava Jato deu uma escorregada no Português ao pronunciar a palavra cônjuge durante sessão na CCJ do Senado,2019-04-04 16:31:56
